N,Sample,DM,CP,Ash,aNDForm,ADICP,NDICP,SP,A2,B1,B2,C,A,B,kd,ERD6,Block,Column,Row,Position,Treatment,merged,Location,Year,Env,DM_201,CP_201,Ash_201,aNDForm_201,ADICP_201,NDICP_201,SP_201,A2_201,B1_201,B2_201,C_201,A_201,B_201,kd_201,ERD6_201,DM_202,CP_202,Ash_202,aNDForm_202,ADICP_202,NDICP_202,SP_202,A2_202,B1_202,B2_202,C_202,A_202,B_202,kd_202,ERD6_202
1354,15592,94.521,18.369,7.5,30.142,0.857,1.227,10.733,58.591,33.705,2.38,4.824,7.621,87.528,0.056,49.29,8,5,4,20,194,WA_2021,WA,2021,WA_2021,94.749,16.855,7.003,31.132,0.872,1.327,10.204,60.15,31.294,2.799,5.241,5.861,88.882,0.054,46.846,94.847,17.784,7.139,28.213,0.769,1.254,10.554,59.118,33.553,2.522,4.416,7.29,88.414,0.059,50.767
1356,15594,93.687,20.948,7.884,24.895,0.831,1.349,12.999,62.083,31.351,2.384,3.953,6.173,89.661,0.054,48.258,1,3,1,9,77,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
1357,15595,94.645,16.556,6.208,25.917,0.76,1.208,9.698,59.524,32.424,2.699,4.866,6.157,88.667,0.056,49.402,8,4,3,15,47,WA_2021,WA,2021,WA_2021,94.749,16.855,7.003,31.132,0.872,1.327,10.204,60.15,31.294,2.799,5.241,5.861,88.882,0.054,46.846,94.847,17.784,7.139,28.213,0.769,1.254,10.554,59.118,33.553,2.522,4.416,7.29,88.414,0.059,50.767
1358,15596,94.548,16.922,7.516,33.311,0.854,1.298,8.682,53.22,38.952,2.491,5.338,10.919,83.844,0.061,52.114,3,5,1,17,26,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1360,15598,93.855,20.9,8.869,28.326,0.819,1.158,12.5,59.667,34.75,1.635,3.849,8.383,87.689,0.053,48.531,4,5,3,19,61,WA_2021,WA,2021,WA_2021,94.768,16.882,6.771,31.234,0.802,1.328,10.199,60.293,31.497,2.599,4.976,6.267,88.82,0.059,49.773,94.258,20.327,8.066,29.011,0.802,1.272,10.674,52.978,40.639,2.199,4.015,11.796,84.289,0.057,51.221
1361,15599,94.232,21.848,8.375,29.682,0.822,1.204,10.948,49.961,44.356,1.726,3.752,13.525,82.838,0.056,51.788,3,5,4,20,36,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1362,15600,94.709,18.41,6.763,30.211,0.81,1.195,10.759,58.827,34.015,2.259,4.59,7.638,87.777,0.056,48.954,8,2,1,5,44,WA_2021,WA,2021,WA_2021,94.749,16.855,7.003,31.132,0.872,1.327,10.204,60.15,31.294,2.799,5.241,5.861,88.882,0.054,46.846,94.847,17.784,7.139,28.213,0.769,1.254,10.554,59.118,33.553,2.522,4.416,7.29,88.414,0.059,50.767
1363,15601,94.193,19.577,7.72,26.577,0.799,1.249,10.584,55.084,38.132,2.426,4.273,9.435,86.14,0.06,52.089,3,4,3,15,197,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1365,15603,94.269,18.13,7.886,30.679,0.823,1.193,10.988,60.762,32.274,2.121,4.645,6.845,88.31,0.061,49.2,5,2,1,5,181,WA_2021,WA,2021,WA_2021,94.501,18.286,7.248,30.974,0.847,1.162,10.388,57.085,35.493,2.146,4.879,7.711,87.447,0.058,50.112,94.829,18.082,7.153,28.978,0.919,1.326,10.392,57.328,34.178,2.95,5.327,7.085,87.494,0.053,48.537
1366,15604,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,3,1,2,2,201,WA_2021,WA,2021,WA_2021,94.119,20.16,7.725,28.148,0.808,1.212,11.446,57.172,36.392,1.974,4.086,8.435,87.356,0.06,51.284,94.247,19.431,7.61,30.138,0.827,1.117,10.84,56.527,36.868,1.883,4.362,8.389,87.255,0.06,51.13
1369,15607,94.614,17.724,6.989,28.538,0.82,1.337,10.262,58.757,33.344,2.876,4.893,7.064,87.915,0.059,50.016,4,4,2,14,190,WA_2021,WA,2021,WA_2021,94.768,16.882,6.771,31.234,0.802,1.328,10.199,60.293,31.497,2.599,4.976,6.267,88.82,0.059,49.773,94.258,20.327,8.066,29.011,0.802,1.272,10.674,52.978,40.639,2.199,4.015,11.796,84.289,0.057,51.221
1373,15611,93.875,21.12,7.867,27.009,0.83,1.223,12.396,59.392,34.509,1.95,3.882,7.556,88.415,0.056,49.793,1,5,3,19,116,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
1375,15613,94.5,18.034,6.647,25.662,0.77,1.249,10.644,60.32,32.034,2.586,4.578,6.077,89.071,0.055,48.577,5,2,2,6,108,WA_2021,WA,2021,WA_2021,94.501,18.286,7.248,30.974,0.847,1.162,10.388,57.085,35.493,2.146,4.879,7.711,87.447,0.058,50.112,94.829,18.082,7.153,28.978,0.919,1.326,10.392,57.328,34.178,2.95,5.327,7.085,87.494,0.053,48.537
1376,15614,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,9,2,3,7,201,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
1378,15616,94.392,18.911,7.73,25.949,0.802,1.227,11.051,59.417,33.825,2.158,4.208,7.88,87.592,0.055,49.987,1,2,2,6,191,WA_2021,WA,2021,WA_2021,94.013,20.267,7.98,30.654,0.859,1.216,11.634,57.725,35.503,1.945,4.264,8.463,87.206,0.056,48.822,94.046,20.654,8.59,29.612,0.845,1.188,11.176,54.307,39.233,1.809,4.218,10.126,85.689,0.062,51.057
1379,15617,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379,9,3,2,10,202,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
1380,15618,94.876,18.518,7.248,28.684,0.831,1.259,10.659,58.251,33.997,2.444,4.574,7.363,88.012,0.056,50.51,11,1,3,3,134,WA_2021,WA,2021,WA_2021,94.261,17.791,6.871,28.597,0.864,1.292,10.448,58.588,33.422,2.621,4.9,7.429,87.577,0.053,48.65,94.575,20.155,7.062,29.18,0.824,1.284,11.367,57.813,34.98,2.307,4.17,7.824,87.905,0.056,49.601
1382,15620,94.704,15.714,6.965,30.429,0.781,1.208,9.163,59.322,32.951,2.418,5.125,7.615,87.175,0.058,52.021,2,4,1,13,82,WA_2021,WA,2021,WA_2021,94.211,20.131,8.116,29.963,0.809,1.316,10.475,53.238,40.235,2.216,4.131,11.304,84.607,0.061,53.609,94.497,18.358,7.282,29.061,0.779,1.277,10.819,59.728,33.203,2.175,4.397,7.224,88.294,0.059,50.562
1383,15621,94.559,16.064,6.226,28.089,0.823,1.302,9.219,58.357,32.722,3.125,5.383,6.73,87.81,0.056,47.953,9,2,4,8,55,WA_2021,WA,2021,WA_2021,94.647,17.215,6.599,27.165,0.831,1.305,10.424,59.545,31.858,2.917,5.122,5.716,89.012,0.053,47.517,94.639,17.968,6.587,27.184,0.834,1.34,10.801,59.748,32.438,2.954,4.667,6.969,88.229,0.05,49.379
